,Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Set,Title,familyType
0,0.0,3,male,22.0,7.25,U,S,train, Mr,Small_Family
1,1.0,1,female,38.0,71.2833,C,C,train, Mrs,Small_Family
2,1.0,3,female,26.0,7.925,U,S,train, Miss,Single
3,1.0,1,female,35.0,53.1,C,S,train, Mrs,Small_Family
4,0.0,3,male,35.0,8.05,U,S,train, Mr,Single
5,0.0,3,male,29.881137667304014,8.4583,U,Q,train, Mr,Single
6,0.0,1,male,54.0,51.8625,E,S,train, Mr,Single
7,0.0,3,male,2.0,21.075,U,S,train, Master,Single
8,1.0,3,female,27.0,11.1333,U,S,valid, Mrs,Small_Family
9,1.0,2,female,14.0,30.0708,U,C,train, Mrs,Small_Family
10,1.0,3,female,4.0,16.7,G,S,train, Miss,Small_Family
11,1.0,1,female,58.0,26.55,C,S,train, Miss,Single
12,0.0,3,male,20.0,8.05,U,S,train, Mr,Single
13,0.0,3,male,39.0,31.275,U,S,valid, Mr,Large_Family
14,0.0,3,female,14.0,7.8542,U,S,train, Miss,Single
15,1.0,2,female,55.0,16.0,U,S,train, Mrs,Single
16,0.0,3,male,2.0,29.125,U,Q,train, Master,Large_Family
17,1.0,2,male,29.881137667304014,13.0,U,S,train, Mr,Single
18,0.0,3,female,31.0,18.0,U,S,train, Mrs,Small_Family
19,1.0,3,female,29.881137667304014,7.225,U,C,train, Mrs,Single
20,0.0,2,male,35.0,26.0,U,S,valid, Mr,Single
21,1.0,2,male,34.0,13.0,D,S,train, Mr,Single
22,1.0,3,female,15.0,8.0292,U,Q,train, Miss,Single
23,1.0,1,male,28.0,35.5,A,S,train, Mr,Single
24,0.0,3,female,8.0,21.075,U,S,train, Miss,Single
25,1.0,3,female,38.0,31.3875,U,S,train, Mrs,Large_Family
26,0.0,3,male,29.881137667304014,7.225,U,C,train, Mr,Single
27,0.0,1,male,19.0,263.0,C,S,valid, Mr,Large_Family
28,1.0,3,female,29.881137667304014,7.8792,U,Q,train, Miss,Single
29,0.0,3,male,29.881137667304014,7.8958,U,S,train, Mr,Single
30,0.0,1,male,40.0,27.7208,U,C,train, Don,Single
31,1.0,1,female,29.881137667304014,146.5208,B,C,train, Mrs,Small_Family
32,1.0,3,female,29.881137667304014,7.75,U,Q,train, Miss,Single
33,0.0,2,male,66.0,10.5,U,S,train, Mr,Single
34,0.0,1,male,28.0,82.1708,U,C,train, Mr,Small_Family
35,0.0,1,male,42.0,52.0,U,S,train, Mr,Small_Family
36,1.0,3,male,29.881137667304014,7.2292,U,C,train, Mr,Single
37,0.0,3,male,21.0,8.05,U,S,train, Mr,Single
38,0.0,3,female,18.0,18.0,U,S,valid, Miss,Small_Family
39,1.0,3,female,14.0,11.2417,U,C,train, Miss,Small_Family
40,0.0,3,female,40.0,9.475,U,S,train, Mrs,Small_Family
41,0.0,2,female,27.0,21.0,U,S,train, Mrs,Small_Family
42,0.0,3,male,29.881137667304014,7.8958,U,C,train, Mr,Single
43,1.0,2,female,3.0,41.5792,U,C,train, Miss,Small_Family
44,1.0,3,female,19.0,7.8792,U,Q,train, Miss,Single
45,0.0,3,male,29.881137667304014,8.05,U,S,train, Mr,Single
46,0.0,3,male,29.881137667304014,15.5,U,Q,train, Mr,Small_Family
47,1.0,3,female,29.881137667304014,7.75,U,Q,train, Miss,Single
48,0.0,3,male,29.881137667304014,21.6792,U,C,train, Mr,Small_Family
49,0.0,3,female,18.0,17.8,U,S,train, Mrs,Small_Family
50,0.0,3,male,7.0,39.6875,U,S,train, Master,Large_Family
51,0.0,3,male,21.0,7.8,U,S,train, Mr,Single
52,1.0,1,female,49.0,76.7292,D,C,valid, Mrs,Small_Family
53,1.0,2,female,29.0,26.0,U,S,train, Mrs,Small_Family
54,0.0,1,male,65.0,61.9792,B,C,train, Mr,Small_Family
55,1.0,1,male,29.881137667304014,35.5,C,S,train, Mr,Single
56,1.0,2,female,21.0,10.5,U,S,train, Miss,Single
57,0.0,3,male,28.5,7.2292,U,C,train, Mr,Single
58,1.0,2,female,5.0,27.75,U,S,train, Miss,Small_Family
59,0.0,3,male,11.0,46.9,U,S,train, Master,Large_Family
60,0.0,3,male,22.0,7.2292,U,C,train, Mr,Single
61,1.0,1,female,38.0,80.0,B,S,train, Miss,Single
62,0.0,1,male,45.0,83.475,C,S,train, Mr,Small_Family
63,0.0,3,male,4.0,27.9,U,S,train, Master,Large_Family
64,0.0,1,male,29.881137667304014,27.7208,U,C,train, Mr,Single
65,1.0,3,male,29.881137667304014,15.2458,U,C,train, Master,Small_Family
66,1.0,2,female,29.0,10.5,F,S,train, Mrs,Single
67,0.0,3,male,19.0,8.1583,U,S,train, Mr,Single
68,1.0,3,female,17.0,7.925,U,S,train, Miss,Large_Family
69,0.0,3,male,26.0,8.6625,U,S,train, Mr,Small_Family
70,0.0,2,male,32.0,10.5,U,S,valid, Mr,Single
71,0.0,3,female,16.0,46.9,U,S,train, Miss,Large_Family
72,0.0,2,male,21.0,73.5,U,S,valid, Mr,Single
73,0.0,3,male,26.0,14.4542,U,C,train, Mr,Small_Family
74,1.0,3,male,32.0,56.4958,U,S,train, Mr,Single
75,0.0,3,male,25.0,7.65,F,S,train, Mr,Single
76,0.0,3,male,29.881137667304014,7.8958,U,S,train, Mr,Single
77,0.0,3,male,29.881137667304014,8.05,U,S,train, Mr,Single
78,1.0,2,male,0.83,29.0,U,S,train, Master,Small_Family
79,1.0,3,female,30.0,12.475,U,S,train, Miss,Single
80,0.0,3,male,22.0,9.0,U,S,train, Mr,Single
81,1.0,3,male,29.0,9.5,U,S,train, Mr,Single
82,1.0,3,female,29.881137667304014,7.7875,U,Q,train, Miss,Single
83,0.0,1,male,28.0,47.1,U,S,train, Mr,Single
84,1.0,2,female,17.0,10.5,U,S,train, Miss,Single
85,1.0,3,female,33.0,15.85,U,S,train, Mrs,Small_Family
86,0.0,3,male,16.0,34.375,U,S,train, Mr,Single
87,0.0,3,male,29.881137667304014,8.05,U,S,train, Mr,Single
88,1.0,1,female,23.0,263.0,C,S,train, Miss,Large_Family
89,0.0,3,male,24.0,8.05,U,S,valid, Mr,Single
90,0.0,3,male,29.0,8.05,U,S,train, Mr,Single
91,0.0,3,male,20.0,7.8542,U,S,train, Mr,Single
92,0.0,1,male,46.0,61.175,E,S,train, Mr,Small_Family
93,0.0,3,male,26.0,20.575,U,S,train, Mr,Small_Family
94,0.0,3,male,59.0,7.25,U,S,train, Mr,Single
95,0.0,3,male,29.881137667304014,8.05,U,S,train, Mr,Single
96,0.0,1,male,71.0,34.6542,A,C,train, Mr,Single
97,1.0,1,male,23.0,63.3583,D,C,train, Mr,Small_Family
98,1.0,2,female,34.0,23.0,U,S,train, Mrs,Small_Family
99,0.0,2,male,34.0,26.0,U,S,train, Mr,Small_Family
100,0.0,3,female,28.0,7.8958,U,S,train, Miss,Single
101,0.0,3,male,29.881137667304014,7.8958,U,S,train, Mr,Single
102,0.0,1,male,21.0,77.2875,D,S,train, Mr,Small_Family
103,0.0,3,male,33.0,8.6542,U,S,valid, Mr,Single
104,0.0,3,male,37.0,7.925,U,S,train, Mr,Small_Family
105,0.0,3,male,28.0,7.8958,U,S,train, Mr,Single
106,1.0,3,female,21.0,7.65,U,S,train, Miss,Single
107,1.0,3,male,29.881137667304014,7.775,U,S,train, Mr,Single
108,0.0,3,male,38.0,7.8958,U,S,train, Mr,Single
109,1.0,3,female,29.881137667304014,24.15,U,Q,valid, Miss,Small_Family
110,0.0,1,male,47.0,52.0,C,S,train, Mr,Single
111,0.0,3,female,14.5,14.4542,U,C,train, Miss,Small_Family
112,0.0,3,male,22.0,8.05,U,S,train, Mr,Single
113,0.0,3,female,20.0,9.825,U,S,train, Miss,Small_Family
114,0.0,3,female,17.0,14.4583,U,C,train, Miss,Single
115,0.0,3,male,21.0,7.925,U,S,train, Mr,Single
116,0.0,3,male,70.5,7.75,U,Q,train, Mr,Single
117,0.0,2,male,29.0,21.0,U,S,train, Mr,Small_Family
118,0.0,1,male,24.0,247.5208,B,C,train, Mr,Small_Family
119,0.0,3,female,2.0,31.275,U,S,train, Miss,Large_Family
120,0.0,2,male,21.0,73.5,U,S,train, Mr,Small_Family
121,0.0,3,male,29.881137667304014,8.05,U,S,train, Mr,Single
122,0.0,2,male,32.5,30.0708,U,C,valid, Mr,Small_Family
123,1.0,2,female,32.5,13.0,E,S,train, Miss,Single
124,0.0,1,male,54.0,77.2875,D,S,train, Mr,Small_Family
125,1.0,3,male,12.0,11.2417,U,C,train, Master,Small_Family
126,0.0,3,male,29.881137667304014,7.75,U,Q,train, Mr,Single
127,1.0,3,male,24.0,7.1417,U,S,train, Mr,Single
128,1.0,3,female,29.881137667304014,22.3583,F,C,train, Miss,Small_Family
129,0.0,3,male,45.0,6.975,U,S,train, Mr,Single
130,0.0,3,male,33.0,7.8958,U,C,train, Mr,Single
131,0.0,3,male,20.0,7.05,U,S,train, Mr,Single
132,0.0,3,female,47.0,14.5,U,S,train, Mrs,Small_Family
133,1.0,2,female,29.0,26.0,U,S,train, Mrs,Small_Family
134,0.0,2,male,25.0,13.0,U,S,train, Mr,Single
135,0.0,2,male,23.0,15.0458,U,C,train, Mr,Single
136,1.0,1,female,19.0,26.2833,D,S,train, Miss,Small_Family
137,0.0,1,male,37.0,53.1,C,S,train, Mr,Small_Family
138,0.0,3,male,16.0,9.2167,U,S,train, Mr,Single
139,0.0,1,male,24.0,79.2,B,C,train, Mr,Single
140,0.0,3,female,29.881137667304014,15.2458,U,C,train, Mrs,Small_Family
141,1.0,3,female,22.0,7.75,U,S,train, Miss,Single
142,1.0,3,female,24.0,15.85,U,S,train, Mrs,Small_Family
143,0.0,3,male,19.0,6.75,U,Q,train, Mr,Single
144,0.0,2,male,18.0,11.5,U,S,train, Mr,Single
145,0.0,2,male,19.0,36.75,U,S,train, Mr,Small_Family
146,1.0,3,male,27.0,7.7958,U,S,train, Mr,Single
147,0.0,3,female,9.0,34.375,U,S,valid, Miss,Single
148,0.0,2,male,36.5,26.0,F,S,train, Mr,Small_Family
149,0.0,2,male,42.0,13.0,U,S,valid, Rev,Single
150,0.0,2,male,51.0,12.525,U,S,train, Rev,Single
151,1.0,1,female,22.0,66.6,C,S,train, Mrs,Small_Family
152,0.0,3,male,55.5,8.05,U,S,train, Mr,Single
153,0.0,3,male,40.5,14.5,U,S,train, Mr,Small_Family
154,0.0,3,male,29.881137667304014,7.3125,U,S,train, Mr,Single
155,0.0,1,male,51.0,61.3792,U,C,train, Mr,Small_Family
156,1.0,3,female,16.0,7.7333,U,Q,train, Miss,Single
157,0.0,3,male,30.0,8.05,U,S,train, Mr,Single
158,0.0,3,male,29.881137667304014,8.6625,U,S,train, Mr,Single
159,0.0,3,male,29.881137667304014,69.55,U,S,train, Master,Large_Family
160,0.0,3,male,44.0,16.1,U,S,train, Mr,Small_Family
161,1.0,2,female,40.0,15.75,U,S,train, Mrs,Single
162,0.0,3,male,26.0,7.775,U,S,train, Mr,Single
163,0.0,3,male,17.0,8.6625,U,S,train, Mr,Single
164,0.0,3,male,1.0,39.6875,U,S,valid, Master,Large_Family
165,1.0,3,male,9.0,20.525,U,S,train, Master,Small_Family
166,1.0,1,female,29.881137667304014,55.0,E,S,train, Mrs,Small_Family
167,0.0,3,female,45.0,27.9,U,S,train, Mrs,Large_Family
168,0.0,1,male,29.881137667304014,25.925,U,S,train, Mr,Single
169,0.0,3,male,28.0,56.4958,U,S,train, Mr,Single
170,0.0,1,male,61.0,33.5,B,S,train, Mr,Single
171,0.0,3,male,4.0,29.125,U,Q,train, Master,Large_Family
172,1.0,3,female,1.0,11.1333,U,S,train, Miss,Small_Family
173,0.0,3,male,21.0,7.925,U,S,train, Mr,Single
174,0.0,1,male,56.0,30.6958,A,C,train, Mr,Single
175,0.0,3,male,18.0,7.8542,U,S,train, Mr,Small_Family
176,0.0,3,male,29.881137667304014,25.4667,U,S,train, Master,Single
177,0.0,1,female,50.0,28.7125,C,C,valid, Miss,Single
178,0.0,2,male,30.0,13.0,U,S,train, Mr,Single
179,0.0,3,male,36.0,0.0,U,S,train, Mr,Single
180,0.0,3,female,29.881137667304014,69.55,U,S,train, Miss,Large_Family
181,0.0,2,male,29.881137667304014,15.05,U,C,train, Mr,Single
182,0.0,3,male,9.0,31.3875,U,S,train, Master,Large_Family
183,1.0,2,male,1.0,39.0,F,S,train, Master,Small_Family
184,1.0,3,female,4.0,22.025,U,S,valid, Miss,Small_Family
185,0.0,1,male,29.881137667304014,50.0,A,S,train, Mr,Single
186,1.0,3,female,29.881137667304014,15.5,U,Q,train, Mrs,Small_Family
187,1.0,1,male,45.0,26.55,U,S,train, Mr,Single
188,0.0,3,male,40.0,15.5,U,Q,train, Mr,Small_Family
189,0.0,3,male,36.0,7.8958,U,S,train, Mr,Single
190,1.0,2,female,32.0,13.0,U,S,train, Mrs,Single
191,0.0,2,male,19.0,13.0,U,S,train, Mr,Single
192,1.0,3,female,19.0,7.8542,U,S,train, Miss,Small_Family
193,1.0,2,male,3.0,26.0,F,S,valid, Master,Small_Family
194,1.0,1,female,44.0,27.7208,B,C,train, Mrs,Single
195,1.0,1,female,58.0,146.5208,B,C,train, Miss,Single
196,0.0,3,male,29.881137667304014,7.75,U,Q,train, Mr,Single
197,0.0,3,male,42.0,8.4042,U,S,train, Mr,Small_Family
198,1.0,3,female,29.881137667304014,7.75,U,Q,train, Miss,Single
199,0.0,2,female,24.0,13.0,U,S,train, Miss,Single
200,0.0,3,male,28.0,9.5,U,S,train, Mr,Single
201,0.0,3,male,29.881137667304014,69.55,U,S,train, Mr,Large_Family
202,0.0,3,male,34.0,6.4958,U,S,train, Mr,Single
203,0.0,3,male,45.5,7.225,U,C,train, Mr,Single
204,1.0,3,male,18.0,8.05,U,S,train, Mr,Single
205,0.0,3,female,2.0,10.4625,G,S,train, Miss,Small_Family
206,0.0,3,male,32.0,15.85,U,S,train, Mr,Small_Family
207,1.0,3,male,26.0,18.7875,U,C,train, Mr,Single
208,1.0,3,female,16.0,7.75,U,Q,train, Miss,Single
209,1.0,1,male,40.0,31.0,A,C,train, Mr,Single
210,0.0,3,male,24.0,7.05,U,S,valid, Mr,Single
211,1.0,2,female,35.0,21.0,U,S,train, Miss,Single
212,0.0,3,male,22.0,7.25,U,S,train, Mr,Single
213,0.0,2,male,30.0,13.0,U,S,train, Mr,Single
214,0.0,3,male,29.881137667304014,7.75,U,Q,train, Mr,Small_Family
215,1.0,1,female,31.0,113.275,D,C,train, Miss,Small_Family
216,1.0,3,female,27.0,7.925,U,S,train, Miss,Single
217,0.0,2,male,42.0,27.0,U,S,train, Mr,Small_Family
218,1.0,1,female,32.0,76.2917,D,C,train, Miss,Single
219,0.0,2,male,30.0,10.5,U,S,train, Mr,Single
220,1.0,3,male,16.0,8.05,U,S,train, Mr,Single
221,0.0,2,male,27.0,13.0,U,S,train, Mr,Single
222,0.0,3,male,51.0,8.05,U,S,train, Mr,Single
223,0.0,3,male,29.881137667304014,7.8958,U,S,train, Mr,Single
224,1.0,1,male,38.0,90.0,C,S,train, Mr,Small_Family
225,0.0,3,male,22.0,9.35,U,S,valid, Mr,Single
226,1.0,2,male,19.0,10.5,U,S,train, Mr,Single
227,0.0,3,male,20.5,7.25,U,S,train, Mr,Single
228,0.0,2,male,18.0,13.0,U,S,valid, Mr,Single
229,0.0,3,female,29.881137667304014,25.4667,U,S,train, Miss,Single
230,1.0,1,female,35.0,83.475,C,S,train, Mrs,Small_Family
231,0.0,3,male,29.0,7.775,U,S,train, Mr,Single
232,0.0,2,male,59.0,13.5,U,S,train, Mr,Single
233,1.0,3,female,5.0,31.3875,U,S,train, Miss,Large_Family
234,0.0,2,male,24.0,10.5,U,S,train, Mr,Single
235,0.0,3,female,29.881137667304014,7.55,U,S,train, Miss,Single
236,0.0,2,male,44.0,26.0,U,S,train, Mr,Small_Family
237,1.0,2,female,8.0,26.25,U,S,train, Miss,Small_Family
238,0.0,2,male,19.0,10.5,U,S,train, Mr,Single
239,0.0,2,male,33.0,12.275,U,S,train, Mr,Single
240,0.0,3,female,29.881137667304014,14.4542,U,C,train, Miss,Small_Family
241,1.0,3,female,29.881137667304014,15.5,U,Q,train, Miss,Small_Family
242,0.0,2,male,29.0,10.5,U,S,train, Mr,Single
243,0.0,3,male,22.0,7.125,U,S,train, Mr,Single
244,0.0,3,male,30.0,7.225,U,C,train, Mr,Single
245,0.0,1,male,44.0,90.0,C,Q,train, Dr,Small_Family
246,0.0,3,female,25.0,7.775,U,S,train, Miss,Single
247,1.0,2,female,24.0,14.5,U,S,train, Mrs,Small_Family
248,1.0,1,male,37.0,52.5542,D,S,train, Mr,Small_Family
249,0.0,2,male,54.0,26.0,U,S,train, Rev,Small_Family
250,0.0,3,male,29.881137667304014,7.25,U,S,train, Mr,Single
251,0.0,3,female,29.0,10.4625,G,S,valid, Mrs,Small_Family
252,0.0,1,male,62.0,26.55,C,S,train, Mr,Single
253,0.0,3,male,30.0,16.1,U,S,train, Mr,Small_Family
254,0.0,3,female,41.0,20.2125,U,S,valid, Mrs,Small_Family
255,1.0,3,female,29.0,15.2458,U,C,train, Mrs,Small_Family
256,1.0,1,female,29.881137667304014,79.2,U,C,train, Mrs,Single
257,1.0,1,female,30.0,86.5,B,S,train, Miss,Single
258,1.0,1,female,35.0,512.3292,U,C,valid, Miss,Single
259,1.0,2,female,50.0,26.0,U,S,train, Mrs,Small_Family
260,0.0,3,male,29.881137667304014,7.75,U,Q,train, Mr,Single
261,1.0,3,male,3.0,31.3875,U,S,train, Master,Large_Family
262,0.0,1,male,52.0,79.65,E,S,train, Mr,Small_Family
263,0.0,1,male,40.0,0.0,B,S,valid, Mr,Single
264,0.0,3,female,29.881137667304014,7.75,U,Q,train, Miss,Single
265,0.0,2,male,36.0,10.5,U,S,train, Mr,Single
266,0.0,3,male,16.0,39.6875,U,S,train, Mr,Large_Family
267,1.0,3,male,25.0,7.775,U,S,train, Mr,Small_Family
268,1.0,1,female,58.0,153.4625,C,S,train, Mrs,Small_Family
269,1.0,1,female,35.0,135.6333,C,S,train, Miss,Single
270,0.0,1,male,29.881137667304014,31.0,U,S,valid, Mr,Single
271,1.0,3,male,25.0,0.0,U,S,train, Mr,Single
272,1.0,2,female,41.0,19.5,U,S,train, Mrs,Small_Family
273,0.0,1,male,37.0,29.7,C,C,valid, Mr,Small_Family
274,1.0,3,female,29.881137667304014,7.75,U,Q,train, Miss,Single
275,1.0,1,female,63.0,77.9583,D,S,valid, Miss,Small_Family
276,0.0,3,female,45.0,7.75,U,S,valid, Miss,Single
277,0.0,2,male,29.881137667304014,0.0,U,S,train, Mr,Single
278,0.0,3,male,7.0,29.125,U,Q,train, Master,Large_Family
279,1.0,3,female,35.0,20.25,U,S,train, Mrs,Small_Family
280,0.0,3,male,65.0,7.75,U,Q,train, Mr,Single
281,0.0,3,male,28.0,7.8542,U,S,train, Mr,Single
282,0.0,3,male,16.0,9.5,U,S,train, Mr,Single
283,1.0,3,male,19.0,8.05,U,S,train, Mr,Single
284,0.0,1,male,29.881137667304014,26.0,A,S,train, Mr,Single
285,0.0,3,male,33.0,8.6625,U,C,train, Mr,Single
286,1.0,3,male,30.0,9.5,U,S,valid, Mr,Single
287,0.0,3,male,22.0,7.8958,U,S,train, Mr,Single
288,1.0,2,male,42.0,13.0,U,S,train, Mr,Single
289,1.0,3,female,22.0,7.75,U,Q,train, Miss,Single
290,1.0,1,female,26.0,78.85,U,S,train, Miss,Single
291,1.0,1,female,19.0,91.0792,B,C,train, Mrs,Small_Family
292,0.0,2,male,36.0,12.875,D,C,train, Mr,Single
293,0.0,3,female,24.0,8.85,U,S,train, Miss,Single
294,0.0,3,male,24.0,7.8958,U,S,train, Mr,Single
295,0.0,1,male,29.881137667304014,27.7208,U,C,train, Mr,Single
296,0.0,3,male,23.5,7.2292,U,C,train, Mr,Single
